Lesson Plan 11.1 - Time Tracker,,,
Time,Number,Activity,Duration
6:30 PM,1,Instructor Do: Server-Side Slide Show,0:25
6:55 PM,2,Instructor Do: My First Server,0:20
7:15 PM,3,Students Do: Two Servers App,0:20
7:35 PM,4,Instructor Do: Review Two Servers App,0:05
7:40 PM,5,Break,0:15
7:55 PM,6,Instructor Do: Portfolio,0:15
8:10 PM,7,Partners Do: Discuss Portfolio,0:07
8:17 PM,8,Instructor Do: Serving-HTML,0:15
8:32 PM,9,Partners Do: Discuss Serving-HTML,0:04
8:36 PM,10,Students Do: Serve-Favorites,0:30
9:06 PM,11,Instructor Do: Review Students Serve HTML,0:10
9:16 PM,12,Instructor Do: Request Methods,0:10
9:26 PM,13,Instructor Do: Intro FriendFinder HW,0:05
9:31 PM,14,END REQUIRED MATERIAL,
9:31 PM,15,Students Do: POST Requests,0:20
9:51 PM,16,Instructor Do: Recap,0:10
